topic,time_ns
Baseline,2832250
Lotus,9806459
Baseline,4225875
Lotus,9916916
Baseline,2458625
Lotus,10154667
Baseline,1711042
Lotus,7158667
Baseline,2192667
Lotus,7998375
Baseline,1521334
Lotus,6497584
Baseline,1794667
Lotus,7611667
Baseline,2323041
Lotus,8568875
Baseline,2309625
Lotus,7746708
Baseline,3749792
Lotus,9836500
Baseline,2631417
Lotus,8526417
Baseline,2538542
Lotus,8662042
Baseline,2448375
Lotus,12042959
Baseline,3186000
Lotus,9314833
Baseline,3812708
Lotus,9634166
Baseline,2837250
Lotus,8337125
Baseline,1988958
Lotus,6994125
Baseline,1870500
Lotus,8179000
Baseline,3722625
Lotus,9170000
Baseline,2226625
Lotus,7757000
Baseline,1704250
Lotus,6955125
Baseline,2894917
Lotus,9798084
Baseline,2484167
Lotus,8093542
Baseline,2634333
Lotus,8066208
Baseline,2102584
Lotus,8420459
Baseline,2727500
Lotus,8348792
Baseline,2273333
Lotus,7289292
Baseline,1410792
Lotus,6981083
Baseline,2736583
Lotus,9702375
Baseline,2436333
Lotus,8899041
Baseline,1869834
Lotus,8261000
Baseline,1766542
Lotus,6675292
Baseline,2648125
Lotus,7867208
Baseline,2218291
Lotus,7866125
Baseline,2780708
Lotus,9282083
Baseline,2264375
Lotus,8526917
Baseline,2388958
Lotus,9141208
Baseline,2788958
Lotus,9252375
Baseline,3727792
Lotus,12067584
Baseline,3337625
Lotus,11357584
Baseline,2587500
Lotus,8809209
Baseline,2463250
Lotus,8212542
Baseline,2585625
Lotus,7205834
Baseline,2092542
Lotus,7191542
Baseline,1181167
Lotus,4786042
Baseline,1471500
Lotus,6629458
Baseline,1727125
Lotus,6410209
Baseline,2275583
Lotus,7569625
Baseline,2524959
Lotus,8894917
Baseline,1972625
Lotus,8531959
Baseline,2208250
Lotus,8308584
Baseline,2913042
Lotus,8942292
Baseline,2205375
Lotus,8772083
Baseline,2451875
Lotus,7933625
Baseline,2223875
Lotus,7469166
Baseline,2407125
Lotus,7878958
Baseline,2102500
Lotus,7315125
Baseline,2051542
Lotus,8328584
Baseline,2000333
Lotus,9512667
Baseline,2579042
Lotus,9953125
Baseline,2296042
Lotus,8078875
Baseline,2424250
Lotus,8608625
Baseline,2423625
Lotus,8655125
Baseline,2260292
Lotus,9213125
Baseline,1667250
Lotus,6996459
Baseline,2408334
Lotus,7784917
Baseline,2397709
Lotus,8168417
Baseline,2525167
Lotus,8718542
Baseline,1720875
Lotus,7297375
Baseline,1904583
Lotus,9393333
Baseline,2683708
Lotus,7719875
Baseline,2342292
Lotus,7891625
Baseline,1780625
Lotus,7145792
Baseline,3657084
Lotus,9725334
Baseline,1991292
Lotus,7827083
Baseline,2110416
Lotus,7493666
Baseline,5684125
Lotus,10706375
Baseline,1564541
Lotus,6234375
Baseline,2315917
Lotus,28042750
Baseline,5689250
Lotus,20894667
Baseline,1025625
Lotus,10038542
Baseline,1758667
Lotus,7240917
Baseline,2970167
Lotus,7987292
Baseline,1170333
Lotus,6445083
Baseline,1189417
Lotus,7546333
Baseline,1521291
Lotus,6939583
Baseline,2670125
Lotus,8117416
Baseline,2332667
Lotus,7542792
Baseline,2327042
Lotus,7763625
Baseline,3252041
Lotus,9611375
Baseline,2324375
Lotus,23647083
Baseline,2538958
Lotus,9003250
Baseline,2336708
Lotus,8779083
Baseline,1749500
Lotus,9527875
Baseline,2490417
Lotus,7600167
Baseline,2721666
Lotus,7911875
Baseline,2569917
Lotus,7693584
Baseline,1932708
Lotus,7702041
Baseline,2226583
Lotus,8321583
Baseline,2655083
Lotus,8775333
Baseline,2306584
Lotus,8185417
Baseline,1728875
Lotus,7714375
Baseline,2456333
Lotus,8314208
Baseline,1849541
Lotus,7163750
Baseline,2317667
Lotus,7343167
Baseline,2566083
Lotus,8777833
Baseline,1280917
Lotus,11536542
Baseline,1800250
Lotus,6858333
Baseline,1208375
Lotus,5881417
Baseline,1732834
Lotus,7988667
Baseline,2506750
Lotus,8115333
Baseline,1853459
Lotus,8082667
Baseline,1991833
Lotus,7462375
Baseline,2500209
Lotus,8808584
Baseline,2612042
Lotus,9225625
Baseline,2050292
Lotus,7279833
Baseline,1934458
Lotus,7848250
Baseline,1769500
Lotus,6857417
Baseline,1988000
Lotus,8709875
Baseline,2465000
Lotus,7363250
Baseline,2775959
Lotus,8432334
Baseline,1371125
Lotus,4601209
Baseline,1479083
Lotus,8550541
Baseline,1833417
Lotus,8608584
Baseline,2226917
Lotus,9149417
Baseline,1831458
Lotus,6911625
Baseline,2722750
Lotus,8999791
Baseline,2525250
Lotus,7488917
Baseline,2913208
Lotus,8382708
Baseline,2611000
Lotus,8084500
Baseline,2029166
Lotus,8747666
Baseline,2141167
