topic,time_ns
Baseline,2038542
Lotus,10727709
Baseline,2216625
Lotus,10369000
Baseline,2461083
Lotus,7653458
Baseline,1814250
Lotus,7531958
Baseline,1308292
Lotus,5221583
Baseline,1791917
Lotus,6403000
Baseline,1891041
Lotus,5948291
Baseline,2007875
Lotus,6796375
Baseline,4228834
Lotus,11067417
Baseline,1874792
Lotus,8523875
Baseline,1761666
Lotus,8212666
Baseline,1361209
Lotus,6619792
Baseline,2294250
Lotus,7893333
Baseline,2539250
Lotus,8023708
Baseline,2135708
Lotus,8549458
Baseline,2075708
Lotus,7010708
Baseline,1590583
Lotus,7599291
Baseline,2007667
Lotus,6420917
Baseline,1723625
Lotus,5943666
Baseline,1934750
Lotus,6676375
Baseline,2076500
Lotus,8074375
Baseline,1588750
Lotus,7824125
Baseline,1764250
Lotus,6676667
Baseline,1254792
Lotus,6304584
Baseline,1615750
Lotus,7869417
Baseline,2378042
Lotus,9165750
Baseline,1231209
Lotus,6937459
Baseline,2027084
Lotus,6968084
Baseline,2354584
Lotus,7657584
Baseline,1324125
Lotus,6240333
Baseline,1340708
Lotus,5111458
Baseline,1319917
Lotus,5412667
Baseline,2421458
Lotus,8217458
Baseline,1786833
Lotus,7929958
Baseline,2180084
Lotus,7466500
Baseline,1942750
Lotus,6496416
Baseline,1672458
Lotus,5666375
Baseline,1362458
Lotus,5839625
Baseline,1185959
Lotus,9512000
Baseline,1230666
Lotus,6475666
Baseline,1182708
Lotus,6358667
Baseline,1523333
Lotus,5792791
Baseline,2266375
Lotus,8663958
Baseline,1844334
Lotus,6977584
Baseline,2399791
Lotus,8619458
Baseline,1197250
Lotus,5165958
Baseline,1891208
Lotus,7363000
Baseline,1468542
Lotus,5843542
Baseline,2118375
Lotus,8792542
Baseline,1857333
Lotus,27904875
Baseline,1373167
Lotus,5258292
Baseline,1309750
Lotus,6113583
Baseline,2319917
Lotus,7141042
Baseline,1753458
Lotus,7131291
Baseline,1972583
Lotus,7757917
Baseline,1563167
Lotus,5538583
Baseline,1790750
Lotus,9378875
Baseline,1407125
Lotus,6281125
Baseline,1728375
Lotus,6102041
Baseline,1619459
Lotus,6893709
Baseline,1446958
Lotus,7049583
Baseline,1727750
Lotus,11119000
Baseline,1413125
Lotus,8783208
Baseline,1413917
Lotus,6243959
Baseline,2573666
Lotus,8142208
Baseline,2051292
Lotus,8812959
Baseline,1938792
Lotus,7539542
Baseline,1433500
Lotus,7748209
Baseline,2458625
Lotus,8836042
Baseline,3048792
Lotus,18394917
Baseline,3874333
Lotus,11999750
Baseline,1084000
Lotus,5873250
Baseline,1154333
Lotus,6354875
Baseline,1372000
Lotus,6941834
Baseline,1647625
Lotus,7239417
Baseline,1302084
Lotus,8290625
Baseline,2218125
Lotus,7538666
Baseline,2498834
Lotus,8480125
Baseline,2556458
Lotus,8653625
Baseline,55590125
Lotus,60921208
Baseline,3944167
Lotus,11410958
Baseline,3419709
Lotus,12596709
Baseline,1825667
Lotus,8822292
Baseline,1377458
Lotus,6052791
Baseline,2035417
Lotus,8755917
Baseline,1396416
Lotus,5712541
Baseline,1126042
Lotus,5757834
Baseline,1529625
Lotus,7610625
Baseline,2024208
Lotus,7699500
Baseline,2726750
Lotus,7996250
Baseline,2745167
Lotus,7881417
Baseline,4985958
Lotus,11435417
Baseline,2160500
Lotus,8636000
Baseline,1876833
Lotus,10790000
Baseline,2482583
Lotus,8802042
Baseline,2074917
Lotus,8474792
Baseline,1376125
Lotus,7153250
Baseline,1545875
Lotus,6117375
Baseline,2571416
Lotus,8114250
Baseline,3943500
Lotus,9887041
Baseline,2826959
Lotus,9007792
Baseline,1726708
Lotus,6499250
Baseline,2108542
Lotus,6951042
Baseline,1823750
Lotus,7304041
Baseline,1973958
Lotus,7483500
Baseline,2587750
Lotus,9119250
Baseline,1753833
Lotus,7639958
Baseline,1661250
Lotus,6560833
Baseline,1636833
Lotus,7549333
Baseline,2469583
Lotus,8037875
Baseline,1598167
Lotus,6899042
Baseline,1235875
Lotus,5741917
Baseline,1640667
Lotus,9755083
Baseline,1347417
Lotus,5590750
Baseline,1784875
Lotus,5978833
Baseline,3953042
Lotus,10423750
Baseline,2148167
Lotus,8793542
Baseline,2983542
Lotus,9459292
Baseline,2533958
Lotus,9650500
Baseline,3141125
Lotus,8250666
Baseline,2805917
Lotus,9159792
Baseline,3695834
Lotus,9106667
Baseline,1861292
Lotus,7730542
Baseline,2346500
Lotus,10650042
Baseline,2512125
Lotus,7803125
Baseline,4288666
Lotus,9492833
Baseline,2126208
Lotus,8167833
Baseline,3719208
Lotus,9403083
Baseline,1960167
Lotus,8645167
Baseline,2426125
Lotus,9549708
Baseline,1766583
Lotus,8222542
Baseline,5052750
Lotus,11256791
Baseline,2196166
Lotus,8161833
Baseline,42475000
Lotus,46305125
Baseline,2049958
Lotus,8728083
Baseline,1555625
Lotus,9410917
Baseline,2991625
Lotus,9053916
Baseline,1049125
Lotus,5604042
Baseline,1385250
Lotus,6498750
Baseline,2118166
Lotus,8782416
Baseline,1155792
Lotus,6942125
Baseline,1095833
Lotus,5393667
Baseline,1297791
Lotus,5650000
Baseline,1628917
Lotus,8913084
Baseline,2332250
Lotus,8191250
Baseline,2124667
Lotus,8308167
Baseline,2057708
Lotus,7663416
Baseline,4739292
Lotus,14822500
Baseline,1993500
Lotus,8282459
Baseline,1129500
Lotus,5072583
Baseline,1507500
Lotus,7944791
Baseline,1248042
Lotus,6676292
Baseline,1313458
Lotus,6793792
Baseline,1290000
Lotus,5388458
Baseline,1527375
Lotus,8462041
Baseline,1695625
Lotus,6684375
Baseline,1789209
Lotus,6952584
Baseline,1511584
Lotus,8839209
Baseline,1940291
Lotus,8090916
Baseline,2410833
Lotus,7756625
Baseline,2044542
Lotus,8207167
Baseline,2676042
Lotus,9194625
Baseline,1750459
Lotus,8255042
Baseline,2841000
Lotus,9461125
Baseline,3838625
Lotus,10084792
Baseline,3685250
Lotus,11084042
Baseline,2184750
Lotus,7776125
Baseline,2143292
Lotus,8402042
Baseline,1832708
Lotus,9918333
Baseline,1912084
Lotus,7038709
Baseline,2285666
Lotus,7758041
Baseline,1332583
Lotus,5493666
Baseline,1338292
Lotus,6236584
Baseline,1749666
Lotus,9206916
Baseline,3119458
Lotus,10006083
Baseline,3404875
Lotus,8594500
Baseline,1773667
Lotus,7609125
Baseline,1384541
Lotus,7141375
Baseline,1288333
Lotus,8286333
Baseline,1397209
Lotus,5834834
Baseline,1116000
Lotus,6333125
Baseline,1273750
Lotus,7493625
Baseline,1606625
Lotus,5420084
Baseline,1460417
Lotus,7563625
Baseline,1602041
Lotus,9705916
Baseline,1593875
Lotus,6631083
Baseline,1475000
Lotus,5850792
Baseline,1034083
Lotus,8428750
Baseline,1087167
Lotus,7624834
Baseline,1072792
Lotus,5767334
Baseline,1208708
Lotus,5603291
Baseline,1555750
Lotus,5413000
Baseline,1352125
Lotus,7371167
Baseline,1545583
Lotus,7625167
Baseline,3362125
Lotus,8725500
Baseline,2247666
Lotus,8273041
Baseline,2049334
Lotus,7762084
Baseline,2002625
Lotus,7074375
Baseline,3039750
Lotus,8011500
Baseline,2236292
Lotus,8269792
Baseline,2319208
Lotus,7228000
Baseline,1845209
Lotus,6910959
Baseline,2132041
Lotus,10407041
Baseline,2021166
Lotus,7252166
Baseline,2596833
Lotus,8618583
Baseline,1593542
Lotus,8643750
Baseline,1395083
Lotus,5736416
Baseline,1471750
Lotus,7990042
Baseline,1536166
Lotus,7563166
Baseline,1068917
Lotus,6732667
Baseline,1215167
Lotus,5964334
Baseline,1294625
Lotus,6407584
Baseline,2119917
Lotus,7687625
Baseline,1867833
Lotus,8102916
Baseline,2522583
Lotus,7991291
Baseline,2900667
Lotus,9019417
Baseline,2803917
Lotus,9068500
Baseline,3914834
Lotus,10993750
Baseline,1641875
Lotus,6536083
Baseline,1340959
Lotus,5404542
Baseline,1478584
Lotus,7572625
Baseline,1829708
Lotus,8570750
Baseline,2868000
Lotus,8707791
Baseline,1570167
Lotus,5804625
Baseline,1518458
Lotus,7100667
Baseline,1233166
Lotus,5472208
Baseline,1231375
Lotus,6227542
Baseline,1327209
Lotus,7374500
Baseline,1913084
Lotus,10374084
Baseline,3584709
Lotus,14826292
Baseline,1327500
Lotus,6125292
Baseline,1508250
Lotus,6981375
Baseline,1766542
Lotus,8712292
Baseline,1607041
Lotus,7973250
Baseline,1746125
Lotus,8474208
Baseline,2622625
Lotus,8511833
Baseline,1844584
Lotus,6688000
Baseline,1880459
Lotus,7022459
Baseline,2154500
Lotus,7873750
Baseline,1866208
Lotus,6605083
Baseline,2694958
Lotus,8439166
Baseline,1811375
Lotus,8301083
Baseline,1991459
Lotus,9447209
Baseline,2242750
Lotus,9599083
Baseline,1852708
Lotus,6788333
Baseline,3363292
Lotus,10781750
Baseline,2023959
Lotus,7299500
Baseline,1990500
Lotus,7597417
Baseline,1858083
Lotus,6784375
Baseline,2642583
Lotus,8503416
Baseline,1785750
Lotus,6551083
Baseline,2704625
Lotus,9124375
Baseline,2458917
Lotus,7247334
Baseline,2212750
Lotus,10756125
Baseline,1143167
Lotus,5960250
Baseline,978334
Lotus,4372625
Baseline,1401708
Lotus,7371417
Baseline,1661167
Lotus,9306917
Baseline,1989458
Lotus,9422625
Baseline,1785084
Lotus,7336417
Baseline,1582541
Lotus,8851541
Baseline,3460417
Lotus,11169500
Baseline,2234917
Lotus,7747375
Baseline,53866000
Lotus,58858334
Baseline,1642333
Lotus,7052291
Baseline,1694875
Lotus,6529125
Baseline,2039041
Lotus,8656375
Baseline,1460167
Lotus,6478084
Baseline,1944208
Lotus,7235041
Baseline,2831875
Lotus,9507041
Baseline,2023875
Lotus,9750458
Baseline,2596709
