topic,time_ns
Baseline,1119208
Lotus,4497166
Baseline,1241667
Lotus,5233917
Baseline,1727125
Lotus,5877500
Baseline,1327667
Lotus,6671000
Baseline,2462791
Lotus,8184000
Baseline,1187209
Lotus,4587875
Baseline,1213333
Lotus,5366166
Baseline,1641541
Lotus,6696583
Baseline,1497584
Lotus,5626334
Baseline,1836167
Lotus,6612709
Baseline,2786083
Lotus,7670125
Baseline,2283792
Lotus,7469834
Baseline,2080000
Lotus,7388167
Baseline,3571041
Lotus,9902708
Baseline,1613791
Lotus,7521750
Baseline,3657458
Lotus,8858916
Baseline,1968875
Lotus,8991875
Baseline,2109625
Lotus,7016541
Baseline,2644208
Lotus,8511875
Baseline,2028667
Lotus,7551709
Baseline,1859500
Lotus,6694542
Baseline,3854333
Lotus,20333583
Baseline,2389750
Lotus,6467250
Baseline,3283959
Lotus,9979625
Baseline,2966709
Lotus,8223459
Baseline,2860250
Lotus,8836708
Baseline,2386083
Lotus,8130500
Baseline,2780541
Lotus,8159208
Baseline,2834375
Lotus,7714334
Baseline,3103416
Lotus,9401500
Baseline,2204292
Lotus,7575917
Baseline,2641917
Lotus,8060584
Baseline,2250917
Lotus,7193000
Baseline,2840000
Lotus,7795917
Baseline,2004542
Lotus,6248500
Baseline,2206416
Lotus,6603625
Baseline,3060958
Lotus,8319416
Baseline,3568541
Lotus,9355125
Baseline,2567083
Lotus,7409333
Baseline,2773250
Lotus,7972375
Baseline,2133125
Lotus,7529625
Baseline,2738958
Lotus,8030666
Baseline,2061041
Lotus,7428916
Baseline,2705917
Lotus,7908167
Baseline,1163250
Lotus,4946959
Baseline,1356167
Lotus,5405750
Baseline,2291375
Lotus,7141792
Baseline,2753667
Lotus,9742209
Baseline,1765542
Lotus,6155042
Baseline,1997833
Lotus,6276750
Baseline,2765750
Lotus,7005541
Baseline,2614750
Lotus,8487458
Baseline,2803375
Lotus,7800791
Baseline,3099416
Lotus,7928833
Baseline,1967666
Lotus,7355250
Baseline,3061666
Lotus,9366458
Baseline,2138542
Lotus,6491083
Baseline,2021958
Lotus,6835208
Baseline,2311000
Lotus,10233208
Baseline,2800958
Lotus,8725417
Baseline,2340541
Lotus,7687208
Baseline,2588166
Lotus,8248583
Baseline,2279958
Lotus,7131166
Baseline,3315500
Lotus,8703333
Baseline,3226292
Lotus,8718667
Baseline,2687000
Lotus,7938416
Baseline,2533583
Lotus,8278042
Baseline,2553167
Lotus,7639708
Baseline,1667250
Lotus,5727667
Baseline,2854416
Lotus,9412500
Baseline,4736042
Lotus,10229084
Baseline,2975708
Lotus,8888125
Baseline,2220000
Lotus,6892791
Baseline,2785375
Lotus,8444667
Baseline,3528667
Lotus,8232375
Baseline,2715833
Lotus,8128125
Baseline,2776167
Lotus,7008000
Baseline,1942042
Lotus,6764584
Baseline,3901375
Lotus,8894000
Baseline,1824875
Lotus,5952083
Baseline,1340209
Lotus,6117125
Baseline,1802250
Lotus,5793042
Baseline,1061583
Lotus,4408625
Baseline,1143167
Lotus,5454542
Baseline,2032750
Lotus,6870625
Baseline,2720042
Lotus,7367667
Baseline,2535333
Lotus,7362167
Baseline,2658375
Lotus,7101416
Baseline,2236791
Lotus,6394416
Baseline,2030333
Lotus,7281291
Baseline,2102459
Lotus,8806750
Baseline,3010125
Lotus,8454333
Baseline,1610625
Lotus,6929541
Baseline,2600958
Lotus,9353042
Baseline,2757917
Lotus,8980084
Baseline,2942167
Lotus,9338000
Baseline,3452667
Lotus,9461875
Baseline,3002292
Lotus,9527917
Baseline,2014625
Lotus,6610958
Baseline,3074584
Lotus,10830917
Baseline,2366208
Lotus,6946250
Baseline,2608708
Lotus,7941250
Baseline,2406500
Lotus,7996958
Baseline,1987667
Lotus,7126292
Baseline,3411667
Lotus,7840750
Baseline,3192792
Lotus,8320083
Baseline,1217292
Lotus,6766292
Baseline,1851291
Lotus,6001000
Baseline,2032041
Lotus,7102125
Baseline,3098875
Lotus,8734250
Baseline,2328584
Lotus,7492875
Baseline,2643042
Lotus,7877125
Baseline,2543708
Lotus,7833542
Baseline,2694791
Lotus,7467916
Baseline,2760875
Lotus,7116291
Baseline,1606875
Lotus,5709083
Baseline,2419250
Lotus,7011875
Baseline,2533917
Lotus,8099417
Baseline,2270084
Lotus,8059209
Baseline,2718250
Lotus,8642875
Baseline,2180250
Lotus,6663125
Baseline,3453458
Lotus,9270667
Baseline,2459125
Lotus,6577500
Baseline,2764458
Lotus,7947250
Baseline,3134792
Lotus,7891500
Baseline,1435000
Lotus,5801292
Baseline,2406458
Lotus,8494292
Baseline,2496083
Lotus,8021125
Baseline,2359167
Lotus,7697792
Baseline,2598667
Lotus,8657625
Baseline,3020542
Lotus,7795792
Baseline,2858666
Lotus,9807041
Baseline,1438959
Lotus,4885834
